Code	Char	Issue	Correction
U+61E4	懤	CHYUU JIU TAU TOU	CHUU JUU TOU
U+61EC	懬	KOU KAU	KOU
U+639A	掚	RYOU KAZARU	RYOU
U+715C	煜	IKU IU OU	IKU YUU OU
U+71F8	燸	JIYU NYU DAN	JU NYU DAN
U+7243	牃	OUCHOU YOU SHOU JI	OU CHOU YOU SHOU JI
U+7593	疓	ZAI NAI DAI NE KIU	ZAI NAI DAI NE KYUU
U+75D4	痔	JI	DJI JI
U+7685	皅	HAE HABI HA HE BE	HA HE BE
U+77C3	矃	GEI NYOU	GEI NEI NYOU
U+7DB6	綶	KUWA	KA
U+81D1	臑	DAU JU JI	DOU JU JI
U+82B2	芲	KUWA KA	KA
U+833D	茽	CHUU JIYU	CHUU JU
U+8353	荓	HEI	HEI BYOU
U+842A	萪	KUWA	KA
U+8481	蒁	SHUTSU JIUCHI ITSU ICHI RITSU RICHI	SHUTSU JUCHI ITSU ICHI RITSU RICHI
U+84A6	蒦	WAKU KUWAKU KYAKU KAKUYAKU	WAKU KYAKU KAKU YAKU
U+8550	蕐	KUWA KA KE	KA KE
U+8581	薁	IKU AU OU	IKU OU
U+8765	蝥	BOU MU MEU BU	BOU MU MYOU BU
U+88DB	裛	YOUU OU YOU	YUU OU YOU
U+88EA	裪	TAU DOU	TOU DOU
U+8A47	詇	YOU OUU EI	YOU OU EI
U+8B76	譶	TOU DOU CHYUU JU	TOU DOU CHUU JU
U+8CC6	賆	HEN BEN HEI HIYOU	HEN BEN HEI HYOU
U+8DC0	跀	GETSU GUWACHI GOTSU GOCHI	GETSU GACHI GOTSU GOCHI
U+8F51	轑	RAU ROU RYOU	ROU RYOU
U+9194	醔	SHYUU JU	SHUU JU
U+9228	鈨	HABAKI	
U+938A	鎊	HAU HOU	HOU
U+93C5	鏅	SHYUU SHU	SHUU SHU
U+93C9	鏉	SHYUU SHU SOU SOKU	SHUU SHU SOU SOKU
U+942F	鐯	SHAKU CHAKU JIIYAKU	SHAKU CHAKU JAKU
U+9434	鐴	HEKI HIYAKU HEI BEI	HEKI HYAKU HEI BEI
U+99F2	駲		SHUU
U+9ACE	髎	RYOU ROO	RYOU ROU
U+9B2B	鬫	KAN KEN HOERU	KAN KEN
U+9B78	魸	NAMAZU	
U+9BB1	鮱	BORA	
U+9BBE	鮾	DAI NAI KUSARU	DAI NAI
